State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
Pennsylvania,Senate,Primary,2022-05-17,R,Carla Sands,0,73360,0,CarlaHSands,American Vice Chair Center Energy Environment America First Policy Institute Mom Woman faith Former US Ambassador Denmark,881,52243,20,0.0375,0.108333333,0.080424405
Pennsylvania,Senate,Primary,2022-05-17,D,Conor Lamb,0,337498,0,ConorLambPA,prosecutor patriot Catholic Democrat Rep PA17,525,146817,6,0,0.1,0.040018222
Pennsylvania,Senate,Primary,2022-05-17,R,David McCormick,0,419218,0,DaveMcCormickPA,Pennsylvanian Father Husband Veteran Businessman Christmas Tree Trimmer GOP Candidate US Senate,29,6361,13,0,0,0.057870268
Pennsylvania,Senate,Primary,2022-05-17,R,George Bochetto,0,14492,0,GeorgeBochetto,Bochetto GOP candidate supported law enforcement running US Senate Commonwealth Pennsylvania Former PA Boxing Commissioner,41,130,22,0,0,0.159817179
Pennsylvania,Senate,Primary,2022-05-17,R,Jeff Bartos,0,66684,0,jeff_bartos,two husband PA30DayFund,183,4046,6,0,0,0.370007438
Pennsylvania,Senate,Primary,2022-05-17,D,John Fetterman,1,753557,0,JohnFetterman,husband GiseleFetterman Commonwealth Pennsylvania,4969,932281,9,0,0,0.295022466
Pennsylvania,Senate,Primary,2022-05-17,R,Kathy Barnette,0,331903,0,Kathy4Truth,Spokeswoman 1776ActionOrg Grassroots Wife Homeschool Mom Author VETERAN 2022 Republican Candidate Senate PA,3703,200521,14,0,0,0.314764982
Pennsylvania,Senate,Primary,2022-05-17,D,Malcolm Kenyatta,0,139393,0,malcolmkenyatta,PA 181st District Former Democratic Candidate Senate PA drmattkenyatta husband Chair agendapac PA climatepower,6546,162843,17,0,0,0.210660631
Pennsylvania,Senate,Primary,2022-05-17,R,Mehmet Oz,1,420168,0,DrOz,surgeon inventor Empowered millions control health Former Senate candidate Husband best wife father 4 grandfather,847,3911904,24,0.5,0.15,0.013356437
Pennsylvania,Senate,Primary,2022-05-17,R,Sean Gale,0,20266,0,NO_HANDLE,None,0,0,0,,,
