State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Maryland,Senate,Primary,R,Todd Puglisi,0,12052,0,NO_HANDLE,None,0,0
Wisconsin,Senate,Primary,D,Tom Nelson,0,9805,0,NelsonforWI,"['Husband, father, Outagamie Co. Exec, author. Personal account.']",1176,55690
Ohio,Senate,Primary,D,Traci Johnson,0,65209,0,Traci_TJJohnson,"['Passionate Servant, Driven Business Woman, Focused Community Activist, Unique Ohioan and Proud American running to be your next United States Senator - OHIO.']",255,168
Missouri,Senate,General,D,Trudy Busch Valentine,0,579166,0,buschvalentine,"['Mother. Nurse. Advocate for children. Lifelong Missourian. Candidate for U.S. Senate. Put politics aside, and put people first.']",280,18798
Missouri,Senate,Primary,D,Trudy Busch Valentine,1,158583,0,buschvalentine,"['Mother. Nurse. Advocate for children. Lifelong Missourian. Candidate for U.S. Senate. Put politics aside, and put people first.']",280,18798
Florida,Senate,General,D,Val Demings,0,3197133,0,RepValDemings,"[""U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.""]",892,444931
Florida,Senate,Primary,D,Val Demings,1,1197744,0,RepValDemings,"[""U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.""]",892,444931
Kentucky,Senate,Primary,R,Val Fredrick,0,14018,0,NO_HANDLE,None,0,0
Missouri,Senate,Primary,R,Vicky Hartzler,0,144903,0,RepHartzler,"[""Proudly representing Missouri's Fourth District in Congress. Senior member of @HASCRepublicans and @HouseAgGOP. Commissioner of @CECCgov.""]",980,33615
New Hampshire,Senate,Primary,R,Vikram Mansharamani,0,10700,0,mansharamani,['Living free and thinking for myself.  Retweets and likes are not endorsements.'],141,8858
Hawaii,Senate,Primary,R,Wallyn Christian,0,7655,0,NO_HANDLE,None,0,0
Alabama,Senate,Primary,D,Will Boyd,1,107588,0,willboydforAL,"['2022 U.S. Senate Nominee (D-AL), Husband, Father, Bishop, Pastor, Engineer, Educator, & Author']",2224,4176
Alabama,Senate,General,D,Will Boyd,0,435431,0,willboydforAL,"['2022 U.S. Senate Nominee (D-AL), Husband, Father, Bishop, Pastor, Engineer, Educator, & Author']",2224,4176
Oregon,Senate,Primary,D,William Barlow,0,35025,0,NO_HANDLE,None,0,0
Nevada,Senate,Primary,R,William Conrad,0,2665,0,NO_HANDLE,None,0,0
Nevada,Senate,Primary,R,William Hockstedler,0,2111,0,NO_HANDLE,None,0,0
Florida,Senate,Primary,D,William Sanchez,0,79146,0,sanchezforsen,['Husband • Father. grandpa. Immigration Atty • Former DOJ• @univmiami • First-Gen Cuban-American • GULaw; defender of the marginalized;former US SENATE candidate'],4641,3901
